(2, 22, '2017-08-27', 142, null, null, 12, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 32, null, null, 62, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 23, '2017-09-10', 52, null, null, 102, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 182, null, null, 122, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 152, null, null, 72, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 162, null, null, 142, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 12, null, null, 132, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 22, null, null, 82, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 172, null, null, 32, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 192, null, null, 112, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 2, null, null, 42, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 23, '2017-09-10', 62, null, null, 92, '2017-07-30 13:23:07', '2017-07-30 13:23:07'), 
(2, 24, '2017-09-17', 52, null, null, 152, '2017-07-30 13:23:10', '2017-07-30 13:23:10'), 
(2, 24, '2017-09-17', 102, null, null, 172, '2017-07-30 13:23:10', '2017-07-30 13:23:10'), 
(2, 24, '2017-09-17', 132, null, null, 82, '2017-07-30 13:23:10', '2017-07-30 13:23:10'), 
(2, 24, '2017-09-17', 72, null, null, 182, '2017-07-30 13:23:10', '2017-07-30 13:23:10'), 
